,count,mean,std,min,25%,50%,75%,max
SMA,361684.0,901.9044685060409,715.7158983152754,114.09000000000057,511.99339285714416,663.3785714285589,906.2573214285453,6960.535714285679
WMA,361684.0,901.9016058202104,813.1819482283823,80.95495188859779,501.72188035935847,656.7519517774715,899.4384521892677,10469.894285101343
Momentum,361684.0,-0.01943793477179031,3618.7230155469065,-54702.1,-391.70000000000005,-0.08999999999999986,396.5,54989.15
Stochastic_%K,361684.0,41.40697572743972,22.663167997289563,1.7171449447535755e-13,25.603898919789867,40.13817760119879,57.795322411985,100.00174889971606
Stochastic_%D,361684.0,41.40715336955021,18.370299999034266,2.291500322826323e-13,27.76103133701971,40.529711081742306,54.62627067857547,100.00000000000028
RSI,361684.0,49.89108458840427,5.068452715325758,40.11860723037496,47.7020806381725,48.60037097074756,50.540260453824665,97.207245757694
MACD,361684.0,-0.006789549694922506,346.44754371552403,-884.2933957684315,-122.81340351934875,-42.91820374393211,25.310387372925973,4456.8905534632195
MACD_Signal,361684.0,-0.005140949672918352,229.4711511754319,-738.6476217330663,-99.65896318171093,-28.3671139914334,28.61718605368714,2337.8810470160843
Larry_Williams_R%,361684.0,-69.53419169309069,30.75380601271527,-100.00000000000001,-95.66861927500612,-79.30488598230156,-52.76728792243367,3.6865929348079702
CCI,361684.0,0.4172668706192453,95.62821369455251,-260.74396601878414,-52.39668880849862,-29.862327705581038,34.18582367049397,466.66666666666697
